T,M,Time
1,1,6.619312
1,10,23.973266
1,20,38.502355
1,30,44.509244
1,40,50.099961
1,50,59.734423
1,100,61.052398
10,1,5.791458
10,10,6.565962
10,20,5.355324
10,30,5.646208
10,40,6.615949
10,50,7.363201
10,100,6.559715
20,1,5.745297
20,10,5.088884
20,20,4.721533
20,30,4.240590
20,40,4.615768
20,50,5.376598
20,100,3.600241
